,tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,date,category_raw,category,complaint_category_raw
269,597382,261641,True,Sun Dec 03 19:36:32 +0000 2017,@delta you board the entire flight then deplane due to a smell that was present before boarding. Told everyone to reboook their flights and your “VIP” phone rep hangs up on me whole trying to do so. Not how you should treat #loyal #medallion #members #fail,597381,,2017-12-03,complaint,bad flight experience,"Reason for complaint: Bad Flight Experience
Category: Flight Boarding Problems"
272,597430,176544,True,Sun Dec 03 19:39:28 +0000 2017,@Delta Lousy service today. Flight #1710,597428,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service.
273,597437,261647,True,Sun Dec 03 19:26:56 +0000 2017,"@Delta disappointed in you guys today, of all my flights with delta never had a screw up like this one, and can’t get any help either. Guess 2018 I’ll be picking a new airline to fly with.",597436,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
274,595252,261049,True,Sun Dec 03 18:37:08 +0000 2017,"@Delta Hey man, listen, I understand cancelling a flight because the plane is broken, but when you rebook me, can't you do something to ensure I get the same seats I chose? I choose the aisles because I'm a big person, not because I think it's cool.",595251,,2017-12-03,complaint,flight cancellation,Category: Flight Cancellation
279,597374,261639,True,Sun Dec 03 19:56:13 +0000 2017,Waiting 90 minutes to get a boarding pass for our infant. No reason provided. No ETA. Flight at 1:30 to NL. @Delta,597372,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
282,596366,261335,True,Sun Dec 03 19:10:20 +0000 2017,"@Delta your maintenance response for issues in Grand Rapids is ridiculous. 2.5 hours we’ve been waiting for them to even GET HERE, let alone fix the issue. While we sit and wait and watch our boarding time get pushed further and further back 😡",596365,,2017-12-03,complaint,flight delays,Category: Flight Delays
285,596362,229770,True,Sun Dec 03 19:10:18 +0000 2017,"@Delta, this #LittleWifeBigLife usually sings your praises after one of my many trips with my girls. Today, however, I encountered a very rude stewardess by the name of Heather on DL2898 and I'm extremely disappointed in the service. I'm filing an official complaint online.",596360,,2017-12-03,complaint,flight attendant complaints,Flight Attendant Complaints
286,597376,261640,True,Sun Dec 03 19:52:26 +0000 2017,"Then once I land and miss my connecting flight, I go to the ticketing counter and ask for a new ticket. Clifton from @VirginAtlantic helpfully tells me it’s his first day and he can’t help me much and just told me to go to the gate on the ticket. @Delta is nowhere to be found.",597375,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
291,530923,242969,True,Sat Dec 02 06:01:47 +0000 2017,How is it that I bought my ticket 2 months ago and checked in 24hrs in advance on the dot and I’m still in the last boarding group 🙄🙄🙄 @Delta,530922,,2017-12-02,complaint,flight booking problems,Flight Booking Problems.
293,532752,243414,True,Sat Dec 02 10:36:38 +0000 2017,@Delta we r stuck in Budapest. Need to get back to USA ASAP. Please help,532749,,2017-12-02,complaint,flight delays,Category: Flight Delays
294,531779,243196,True,Sat Dec 02 10:21:14 +0000 2017,"@Delta after you updated your app yesterday, it won't open and I have a flight tomorrow. This sucks. https://t.co/JYtloZicUH",531777,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
295,533579,159235,True,Sat Dec 02 11:44:50 +0000 2017,@Delta You should fix the boarding Zone glitch when getting Upgraded at the gate. Should have changed from Sky to PREM. https://t.co/ZgcnXzS3k1,533578,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
298,525065,241436,True,Sat Dec 02 05:20:53 +0000 2017,I now know why @Delta ‘s nickname is Don’t Ever Leave The Airport. #NeverAgain,525064,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
299,533588,243600,True,Sat Dec 02 11:38:40 +0000 2017,"@Delta Was just told we had to stand in a line for 30 MINUTES. The ceiling has actual duct tape holding it up, but we have to stand under it.",533586,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
303,534636,243600,True,Sat Dec 02 12:13:12 +0000 2017,I can't believe I paid for this. Now being subjected to thumping club music. Is this a reality show @Delta? Is someone going to ask for a release for the footage of this abuse? Because this customer is not amused.,534635,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
307,535335,244028,True,Sat Dec 02 12:42:46 +0000 2017,"@Delta on DL44 JFK to DUB last night, one of our bags didn’t make the flight. Called bag service line they provided zero help and laughed at us, can you assist??",535334,,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage.
310,526286,241775,True,Sat Dec 02 06:31:26 +0000 2017,So far @Delta has canceled my flight to Thailand not once but TWICE!!!!! I leave in 48 Days!!!! What is someone at delta going to do?,526285,,2017-12-02,complaint,flight cancellation,Category: Flight Cancellation
313,525060,241434,True,Sat Dec 02 05:40:12 +0000 2017,@Delta - they are beyond terrible. https://t.co/QeqWnNAm7X,"525059,525061",,2017-12-02,complaint,poor customer service,Category: Poor Customer Service.
314,525732,241635,True,Sat Dec 02 06:10:45 +0000 2017,@Delta 0/10 for how your crew treated an elderly woman on my flight. @AmericanAir sorry for cheating my boss made me take this flight. Never again!,525731,,2017-12-02,complaint,bad flight experience,Bad Flight Experience.
315,525741,241637,True,Sat Dec 02 05:58:30 +0000 2017,Hey @Delta! Not at all mad the flight had to turn around but we're getting mixed info from the gate agents! Help 🙏,"525740,525742",,2017-12-02,complaint,flight delays,Category: Flight Delays
316,525752,172332,True,Sat Dec 02 05:54:09 +0000 2017,just when you thought discount airlines were the worst @Delta delivers worst service,525749,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service
320,524377,241239,True,Sat Dec 02 05:09:22 +0000 2017,"Holy crap @824, I’ve never seen an airline jack the price up in just the time it took me to pick my seats and enter my payment info in. That’s incredible ... https://t.co/vFqDPf02v4",524376,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
321,526288,241776,True,Sat Dec 02 06:29:56 +0000 2017,"When you’ve got status with @delta and book with your KTN then you go to check in and somehow it disappears. 😡 and the desk agents don’t know how to add it on. 😡 this needs to be fixed for the return. Ugh. 

#HellNo",526287,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
322,526700,241900,True,Sat Dec 02 06:48:29 +0000 2017,@Delta how sad that some people here have just accepted that things like this happen “when I fly @Delta”,526698,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
330,535339,244030,True,Sat Dec 02 12:28:18 +0000 2017,"Flew more than enough miles on @Delta to make gold #skymiles next year, but didn’t spend enough $...  Last year I was within $250 but again penalized for being frugal? https://t.co/yfVSyqJACi",535338,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
337,538117,244756,True,Sat Dec 02 14:09:31 +0000 2017,@Delta has the worst possible customer svc. Moved me from my paid seat without any knowledge,"538116,538118",,2017-12-02,complaint,poor customer service,Category: Poor Customer Service.
348,540379,245366,True,Sat Dec 02 14:57:53 +0000 2017,@Delta flight 1415 is over an hour late because you can't find the 2nd pilot. Nice way to treat your customers.,540378,,2017-12-02,complaint,flight delays,Category: Flight Delays.
350,540383,245368,True,Sat Dec 02 15:11:20 +0000 2017,@Delta I can’t believe you reseated me today on an international flight to a much worse seat. Pathetic customer service.,540382,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service
351,540386,245369,True,Sat Dec 02 15:08:37 +0000 2017,@Delta @824 past 2 times I have flown out of GSP flight has messed up by faulty plane.  What’s the deal?  Then I call needing help re-routing and it will be 40 minutes before I can get a call back?  You can do better.,540384,,2017-12-02,complaint,flight delays,"Categories: Flight Delays, Poor Customer Service."
354,538094,244751,True,Sat Dec 02 14:16:34 +0000 2017,@Delta help! I requested to be upgraded to comfort for flight 861 from SLC to EWR this morning. I am showing only on the first class upgrade list which has 21 people ahead of me. Please advise asap.,"538095,538093",,2017-12-02,complaint,flight booking problems,Category: Flight Booking Problems
356,535349,244033,True,Sat Dec 02 12:22:39 +0000 2017,@delta who do I submit my complaint to regarding my flight experience two days ago?,535348,,2017-12-02,Category: Complaint,,Flight Experience Complaint.
357,536127,202942,True,Sat Dec 02 13:18:58 +0000 2017,"Sorry, @Delta. I'm bitter your system preselects your seat when upgraded. So instead of a window seat on a bumpy red-eye flight this morning, I had a middle seat on a skinny 757 seat. Really wish it'd go back to how it used to be. Notify the upgrade, then log in and select.",536126,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
358,536134,244215,True,Sat Dec 02 13:11:14 +0000 2017,@Delta been waiting with two little kids at JFK check in desk for 30 minutes supposedly because of new booking system for infants,536133,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
359,536136,239999,True,Sat Dec 02 13:12:16 +0000 2017,@Delta It’s a shame that you had an opportunity to Win over the customer for a bad experience and chose not to.,536135,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
362,536142,243600,True,Sat Dec 02 13:06:54 +0000 2017,"This is how @Delta treats first class, full fare travelers. In addition, they seem to like pounding club music blaring at unacceptable decibels during boarding. https://t.co/t1KGAj13lg",536141,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
367,536987,243850,True,Sat Dec 02 13:33:27 +0000 2017,Apparently @Delta encourages military members not seeing their family,536982,,2017-12-02,complaint,poor customer service,Poor Customer Service.
368,536990,244463,True,Sat Dec 02 13:35:43 +0000 2017,"So much for #Delta Airlines free ""GoGo"" in-flight WiFi ... account signed-in &amp; it was allegedly connected to my mobile but no apps functional with it, no Internet access. @Delta Flight 2551 (Toronto - Atlanta) https://t.co/vLFIa6h9iC",536988,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
372,538084,244749,True,Sat Dec 02 13:50:50 +0000 2017,"Shame on @Delta.... now the pilot “got pulled off”. Can’t leave till 12ish? If you told us at 6, I could have driven to DTW. https://t.co/oJ2vhSn5Nx","538083,538085",,2017-12-02,complaint,flight delays,Category: Flight Delays
374,514186,238386,True,Sat Dec 02 00:11:25 +0000 2017,"@Delta starting our trip on a bad note. Over 2 delay to fix a hose. It took 45 minutes for paperwork. Now we are stranded in Atlanta because we missed our connection flight to Munich. We got on a later flight through Paris (yeah, one more stop) but our party got split up as well.",514185,,2017-12-02,complaint,flight delays,Category: Flight Delays
383,516812,239132,True,Sat Dec 02 01:05:07 +0000 2017,@DELTA I can see empty gates but we're stuck on the tarmac. Thanks!!,516811,,2017-12-02,complaint,flight delays,Category: Flight Delays
384,516821,239135,True,Sat Dec 02 01:04:16 +0000 2017,@AmericanAir you must not want me as a member of your sky miles.  I had a death in the family and you ppl cancelled the only flight to ct!!  I swear to god you better make this right or i am switching to @Delta,516820,,2017-12-02,complaint,flight cancellation,Category: Flight Cancellation
385,516828,238750,True,Sat Dec 02 00:58:23 +0000 2017,.@Delta now you're boarding employees before me?! What in the literal hell are you doing? My confirmed seat was given up?,"516826,516829",,2017-12-02,complaint,flight booking problems,Flight Booking Problems
386,517822,239414,True,Sat Dec 02 01:26:35 +0000 2017,"@Delta you app won’t allow option to select seats, then I hold for 56 minutes, and the rep all of a sudden can’t hear me? I don’t buy it!!",517821,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
392,517811,239411,True,Sat Dec 02 01:36:10 +0000 2017,"@Delta @824 #disappointed my mom tried to surprise me by upgrading our seats, back in august mind you, 💺 and they separated us the day before our flight to Rome, Italy 🇮🇹!😢😭 #crushed #nothappy",517809,,2017-12-02,complaint,flight booking problems,Category: Flight Booking Problems.
396,514177,238383,True,Sat Dec 02 00:15:26 +0000 2017,"Tasha was helpful. The other lady was rude. Because of that, the @delta flt w room for all of us filled up. #flyingsolonow #hopeweallmakeit #deltadoesntcare",514175,,2017-12-02,complaint,poor customer service,Poor Customer Service.
397,514180,238384,True,Sat Dec 02 00:16:25 +0000 2017,@Delta I flew you all for thanksgiving round trip DC to LA and I have a bone to pick with you all!,514179,,2017-12-02,complaint,bad flight experience,Bad Flight Experience.
398,516800,239129,True,Sat Dec 02 01:15:23 +0000 2017,Maybe just don't give an estimate until you know what the solution to the mechanical problem is? @Delta https://t.co/tSlMd1bj1V,516799,,2017-12-02,complaint,flight delays,Flight Delays
399,540397,245372,True,Sat Dec 02 15:02:18 +0000 2017,@Delta 40 min delay on runway in VPS has tripled my travel time today. Anything you can do?,540396,,2017-12-02,complaint,flight delays,Category: Flight Delays.
400,515515,238757,True,Sat Dec 02 00:19:50 +0000 2017,@Delta The first time I have ever encountered a truly rude Delta flight attendant.  Ever.  Not wearing a name tag and won’t give out her name...but man.,515514,,2017-12-02,complaint,flight attendant complaints,Flight Attendant Complaints
401,515521,238759,True,Sat Dec 02 00:18:51 +0000 2017,Absolutely pathetic @delta are you ever on time leaving LGA?!? 6th in line for takeoff when we are already almost delayed 2 hours.,515520,,2017-12-02,complaint,flight delays,Category: Flight Delays
402,515523,238760,True,Sat Dec 02 00:15:24 +0000 2017,@delta your staff are so rude 🙄🙄,515522,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service
405,516789,239127,True,Sat Dec 02 01:22:18 +0000 2017,@Delta stop trying to sling credit cards as I watch HBO.,516788,,2017-12-02,complaint,other,Other.
410,515498,238751,True,Sat Dec 02 00:47:14 +0000 2017,"Hey @Delta, your fancy new overhead bins make it very hard for vertically challenged folks to put up their own bags. Just saying.",515496,,2017-12-02,complaint,bad flight experience,Bad Flight Experience.
411,515495,238750,True,Sat Dec 02 00:42:20 +0000 2017,".@Delta how does a confirmed silver medallion passenger lose a seat and get stuck waiting due to a ""glitch""?",515491,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
413,515484,223761,True,Sat Dec 02 00:48:20 +0000 2017,@Delta You guys need to do something about your electrical outlets. I’m on a plane that was new in February (Ship 3873) and the outlets are already too loose to use reliably.,515482,,2017-12-02,complaint,bad flight experience,Bad Flight Experience.
417,518971,239738,True,Sat Dec 02 02:17:31 +0000 2017,@Delta really? A maintenance delay &amp; gate change? Why aren’t realistic times gates posted? Johnson 1005909310,"518968,518975",,2017-12-02,complaint,flight delays,Category: Flight Delays
420,520882,240253,True,Sat Dec 02 03:05:59 +0000 2017,@Delta all that sass your flight attendants had rushing us to take our seats. We seated and ready to go and now the plane needs fuel. Like who forgot that lol WE LATE FOREAL NOW,520881,,2017-12-02,complaint,flight delays,Category: Flight Delays.
422,520889,240257,True,Sat Dec 02 00:14:53 +0000 2017,@Delta worst time ever flying from @240258. Delayed no reason. Missed connection flight. very rude employee “station manager” on flight,520888,,2017-12-02,complaint,flight delays,Category: Flight Delays and Poor Customer Service.
428,522762,240756,True,Sat Dec 02 04:10:13 +0000 2017,Hey @Delta you left our car seat &amp; luggage in EWR now we r in OKC.  What 2 do till luggage arrives?  Will you reimbrse xpnses. Agnts say no!,"522759,522763",,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage
429,518981,239739,True,Sat Dec 02 02:02:13 +0000 2017,@delta FIX THE B SKYCLUB WIFI AND CELL RECEPTION!!!!!,518980,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
431,522770,240757,True,Sat Dec 02 03:50:59 +0000 2017,@Delta your wait time to change a password for my sky miles account is nearing the point of ridiculous. #justsayin #stillwaiting,522768,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
432,522772,240758,True,Sat Dec 02 04:04:32 +0000 2017,Why hasn't @Delta added the call back feature to their services? This 2 hour wait on hold is ridiculous.,522771,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service.
434,523625,134257,True,Sat Dec 02 04:53:38 +0000 2017,"I've been trying to book a flight &amp; your website keeps saying ""initializing"" for the past hour @Delta 😒✈️",523624,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
435,523628,241004,True,Sat Dec 02 04:43:03 +0000 2017,Wow @Delta been waiting at MCO for over and hour and a half. Bag was lost. Had places to be and rides waiting. I’ll be expecting a refund or round trip flight. Or you won’t be expecting my patronage again.,"523626,523630",,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage.
436,523632,241005,True,Sat Dec 02 04:48:34 +0000 2017,"@Delta Husband and I both mileage members, pay $200/yr for Delta Amex cards, spend $5K+ per month on Delta Amex and now you want to charge me $100 just so I can sit next to my husband on our flights?",523631,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
438,519979,145567,True,Sat Dec 02 02:26:53 +0000 2017,@Delta been waiting over 5 hr for help with account numerous calls with 2 hour waits and no promised call back and think 2 hr on hold times is rediculous,519977,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service
439,519976,240009,True,Sat Dec 02 02:27:40 +0000 2017,"@Delta 2 hour flight delay. Weather’s fine. No excuse. Arriving past midnight. No apologies, no compensation. Thanks. For horrible service.",519975,,2017-12-02,complaint,flight delays,Category: Flight Delays
442,518983,239740,True,Sat Dec 02 02:22:28 +0000 2017,"@Delta worst customer service ever. Vicky yelled at us, interrupted us, was rude. Chris hung up on a conference call with us/WestJet/choiceair because “it’s not deltas fault”. Yes it was. Admit when you’re wrong and find a solution. After 14 hours, @136906 saved the day for us.",518982,,2017-12-02,complaint,poor customer service,Poor Customer Service
443,518986,239741,True,Sat Dec 02 02:17:44 +0000 2017,Ok @Delta I have become a big fan. Customer service has greatly improved but today a step back. Told to check bag at gate due to full bins. On flight and plenty of room in luggage bins. #sadtrombone https://t.co/i8hGSyLiYa,518984,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service
446,518994,239743,True,Sat Dec 02 02:14:42 +0000 2017,Many airline gate agents are most helpful; some couldn’t care less. The guy at ATL C33 is in the latter group. @Delta #roadwarriorprobs,518993,,2017-12-02,complaint,poor customer service,Poor Customer Service.
447,518996,239744,True,Sat Dec 02 02:06:21 +0000 2017,@Delta all the flight that I've been on today or been scheduled to be (had to rearrange my flights twice already) have been delayed... what gives huh?,518995,,2017-12-02,complaint,flight delays,Category: Flight Delays
448,519006,239745,True,Sat Dec 02 02:07:50 +0000 2017,@Delta my 1st class seat just got stuck in a very uncomfortable position 30 min into flight. FA's unhelpful. Can you pls reach out for compensation? #delta https://t.co/gS8k4OrObU,"519005,519007",,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
449,519013,239746,True,Sat Dec 02 00:44:07 +0000 2017,"@Delta looking for assistance with a travel interruption due to a medical emergency.   Been on the phone lines, but nothing yet... Could you check DM's?  Thank you!",519009,,2017-12-02,category: complaint,flight booking problems,Flight Booking Problems
450,519933,239999,True,Sat Dec 02 02:55:43 +0000 2017,@Delta Very unpleasant flight from PDX to AMS on Nov3017. Husbands video player was broken and it was the hottest flight.  No air.  Miserable!,519930,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
451,519937,240000,True,Sat Dec 02 02:51:28 +0000 2017,@delta help! my bag DL403030 was sent to baggage claim instead of my connecting flight. How do I get it home?,519935,,2017-12-02,category: complaint,lost/damaged luggage,Lost/Damaged Luggage.
454,519948,240003,True,Sat Dec 02 02:44:06 +0000 2017,"@Delta every time I travel with you there is a delay, over an hour this time and the only beverage passed out was pretty filled water cups ???",519947,,2017-12-02,complaint,flight delays,Category: Flight Delays
455,519951,240004,True,Sat Dec 02 02:43:53 +0000 2017,"@Delta so only h2o in delta comfort now on a 1:10 flt. Thanks for “upgrading” me from my preferred window seat to the middle and I can’t even get an OJ when I asked then a rude flt attendant that told me to “fly AA”. Thanks, think I will next year. Glad to know my 25k$ is nothing","519949,519953",,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
456,519961,240005,True,Sat Dec 02 02:36:50 +0000 2017,@Delta Why is there a 2HR wait time to talk to an agent,519957,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service.
458,519967,240007,True,Sat Dec 02 02:37:55 +0000 2017,Would it even be a @Delta flight if it wasn’t delayed??,519965,,2017-12-02,complaint,flight delays,Category: Flight Delays
459,540395,167971,True,Sat Dec 02 14:51:34 +0000 2017,It doesn’t count as an early arrival @Delta if we sit on the tarmac waiting to get to a gate for 15 minutes.,540394,,2017-12-02,complaint,flight delays,Category: Flight Delays
460,527213,242033,True,Sat Dec 02 07:14:50 +0000 2017,"Never flying @Delta again. 3 hrs before departure, just to wait an hour for them to start work. 😡","527212,527214",,2017-12-02,complaint,flight delays,Category: Flight Delays
464,558659,250538,True,Sat Dec 02 21:14:43 +0000 2017,"@Delta My flight has been canceled, can you explain my why",558658,,2017-12-02,Category: Complaint,flight cancellation,Category: Flight Cancellation
465,558661,250539,True,Sat Dec 02 21:06:49 +0000 2017,@Delta Why is it literally every time I fly from Atlanta there are mechanical issues with your planes? Makes me want to avoid ATL. DL1390,558660,,2017-12-02,complaint,flight delays,Category: Flight Delays
466,560026,250969,True,Sat Dec 02 22:17:21 +0000 2017,@Delta did a pretty good number on my @25567 copilot bag today. Desk agent wasn’t much help either when I asked what could be done to address my issue. https://t.co/b0eOyH0kkr,560025,,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage.
470,560043,250975,True,Sat Dec 02 22:19:55 +0000 2017,"@Delta My direct flight to LAX just got changed to two connecting flights...this is not what I paid for. Can I get a refund, please?",560042,,2017-12-02,complaint,flight booking problems,Category: Flight Booking Problems
471,560069,250985,True,Sat Dec 02 21:41:06 +0000 2017,@delta please give me my luggage!!! Haiti customer service said to call back in 30 minutes or they would call back but now they turned off the phone...#Delta #DeltaAirlines #needmyluggage,560068,,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage.
472,560047,250976,True,Sat Dec 02 21:54:06 +0000 2017,@Delta we are on flight 2177 from RSW to DTW.  Plane is out of vodka.  Need Help🍸🍸🍸,560046,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
474,560052,250977,True,Sat Dec 02 22:14:42 +0000 2017,"Guys, don't fly @delta. But do enjoy the rest of your day. Thanks.","560050,560053",,2017-12-02,complaint,other,Category: Other. The tweet does not provide any specific reason for the complaint.
477,560062,250980,True,Sat Dec 02 21:19:00 +0000 2017,"How.... what.... why would it be double the price to go from Tampa to San Juan, PR vs Tampa to NYC over the same days during the Christmas holiday. The former being a trip that is half the time of the latter.... what’s up, @Delta? #pricegouging https://t.co/RWpOGE4NNp",560061,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
496,557286,250132,True,Sat Dec 02 20:59:32 +0000 2017,"@Delta - Why does your ticket and website say different things about your baggage allowance? Tried speaking with your team to resolve, but they're equally clueless! https://t.co/Kldo3vxcXG",557285,,2017-12-02,Category: Complaint,flight booking problems,Flight Booking Problems
499,561013,251277,True,Sat Dec 02 22:54:13 +0000 2017,@Delta on a flight and none of the flight attendants noticed a woman talking on her phone after takeoff. I want to remain anonymous but more checking is needed.,561012,,2017-12-02,complaint,flight attendant complaints,Flight Attendant Complaints
506,563564,251285,True,Sat Dec 02 23:04:35 +0000 2017,"If your profile says pescatarian or vegetarian but @Delta doesn’t actually save you a meal based on your dietary restrictions, what is the point of having the profile?","563563,563565",,2017-12-02,complaint,flight attendant complaints,Flight Attendant Complaints
507,563567,251966,True,Sat Dec 02 23:34:28 +0000 2017,.@Delta switched my flight to Korean Air w/o telling me until I got to the counter. Here is my view from the end of the new line I now have to wait in. Won't be flying Delta again. https://t.co/iSbwCdewvg,563566,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
509,565476,252523,True,Sat Dec 02 15:07:48 +0000 2017,As a Diamond member of @Delta I noticed that I frequently have a non working power and/or USB outlet.  Why does Delta not have these fixed!!  Had a non working power on my outbound and now on my return!,565475,,2017-12-02,complaint,bad flight experience,Bad Flight Experience.
510,561017,251278,True,Sat Dec 02 22:49:05 +0000 2017,"@Delta  I have been trying to cancel my flight and request a refund for now 3 hours. the screen keeps freezing at the final step, this is not acceptable",561016,,2017-12-02,complaint,flight booking problems,Category: Flight Booking Problems
512,569692,253713,True,Sat Dec 02 19:55:12 +0000 2017,@delta I want my $100 back.  Got worse seat assignment than family who didn’t pay extra.  They have SKY priority seating and are together. My husband and I who paid for seating assignment are not together and zone 3.  Pretty crappy paid service https://t.co/tLl202TJll,569691,,2017-12-02,complaint,poor customer service,Category: Poor Customer Service.
515,570547,253962,True,Sat Dec 02 16:53:56 +0000 2017,I am contemplating filing a complaint against @Delta for emotional distress and lost wages because of my missing luggage. How can I get on the plane and you leave my luggage behind? I got to my destination with nothing to wear the next day. And still waiting 24hrs later.,"570546,570548",,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage.
516,571418,254237,True,Sat Dec 02 22:59:37 +0000 2017,@Delta - DTW to CDG - Platinum status but sitting next to a dog in coach - $3000k ticket and no upgrade #really?,571417,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
520,562485,210478,True,Sat Dec 02 23:04:10 +0000 2017,ATL airport and we are delayed @Delta. I don't think I have ever made it out of here on time... Ever...,562484,,2017-12-02,complaint,flight delays,Category: Flight Delays
522,561019,127644,True,Sat Dec 02 22:49:43 +0000 2017,"@Delta @118580 Flight #4768
why can’t your gate personnel provide proper communications???",561018,,2017-12-02,complaint,flight delays,Category: Flight Delays
524,561025,127644,True,Sat Dec 02 22:40:49 +0000 2017,@Delta #4768 WHY can’t this airline get flight crews organized to show up and actually be on time!?!  #cx #fail.,561024,,2017-12-02,complaint,flight delays,Category: Flight Delays.
525,561028,251280,True,Sat Dec 02 22:42:43 +0000 2017,"@Delta An hour on the ground in ATL, still no gate. How is that possible? It’s a huge airport. #unacceptable  #customerslast?","561026,561030",,2017-12-02,complaint,flight delays,Category: Flight Delays
526,561033,244463,True,Sat Dec 02 22:40:59 +0000 2017,"Upon arrival in Roatán via #Delta flight 694 (via Atlanta), dismayed to see that #TSA opened my Pelican case of photo gear, no note placed inside as per regulations, items not put back correctly, lost / stole one approved lock entirely &amp; left other wide open. 😡😠 @Delta @120943 https://t.co/3OoFky6bks","561031,561035",,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage.
527,561037,251282,True,Sat Dec 02 22:43:06 +0000 2017,@Delta trying to reach a specialist to change a flight-impossible to get someone who can help on the phone today and website has an “error”,561036,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
528,561039,140543,True,Sat Dec 02 22:38:04 +0000 2017,@Delta y'all tickets cost way too much to not be able to transfer them a week ahead of time. This is ridiculous and borderline theft of my money.,"561038,561040",,2017-12-02,complaint,flight booking problems,Category: Flight Booking Problems
530,561044,251284,True,Sat Dec 02 22:36:06 +0000 2017,@Delta this is NOT what I thought I would be getting flying 1st Class with Delta.  You should be ashamed and NO FOOD either. https://t.co/rWAX7VGBPm,561043,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience.
532,561050,251286,True,Sat Dec 02 22:06:49 +0000 2017,"@Delta just got rejected from AF lounge at IAD with recently purchased Executive Sky Club membership, flying PE on AF to CDG. Very disappointed in service, this will be my future travel itin. Refund?","561047,561051",,2017-12-02,complaint,flight booking problems,Flight Booking Problems
534,562477,251627,True,Sat Dec 02 23:19:56 +0000 2017,"@Delta LGA Flt 5600 this is extremely bad, 2nd trip back to bus gates- ground crew forgot to plug in power- lousy experience",562476,,2017-12-02,complaint,bad flight experience,Category: Bad Flight Experience
536,562481,251629,True,Sat Dec 02 23:12:00 +0000 2017,@Delta call time as a medallion is over 2 hours without an option for a call back. Please help!!! #Travel,562480,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
537,554192,249310,True,Sat Dec 02 20:02:23 +0000 2017,"@Delta seriously? Two maintenance delays in one day? I always want to be safe but I'm tired, Delta. So ready to be home.",554190,,2017-12-02,complaint,flight delays,Category: Flight Delays
541,544614,246546,True,Sat Dec 02 16:27:46 +0000 2017,"Argh! My @delta flight times changed after I booked the trip (now the outgoing flight doesn't work) and I tried to change it on web and that system is garbage, dl'd the app-- same problem. On hold and the wait is 54-193 minutes. Wtf.",544613,,2017-12-02,complaint,flight booking problems,Flight Booking Problems
544,545957,246929,True,Sat Dec 02 17:20:18 +0000 2017,@Delta definitely not doing priority luggage first at JFK right now on flight 0047 from Amsterdam,545955,,2017-12-02,complaint,lost/damaged luggage,Lost/Damaged Luggage.
546,545966,246930,True,Sat Dec 02 17:13:46 +0000 2017,I need a courtesy flight to go see my Mom... mentality iNeed a vacation @Delta,545965,,2017-12-02,complaint,flight booking problems,Flight Booking Problems.
